year,employment_income
1994,262822.6
1995,267095.2
1996,272962.4
1997,279054.2
1998,273370.2
1999,269177
2000,270736.4
2001,264606.8
2002,256723.4
2003,253616.6
2004,256437
2005,261644.3
2006,265771.5
2007,267280.1
2008,265523.7
2009,252674.2
2010,251154.8
2011,251977
2012,251431
2013,253705.1
2014,258435.2
2015,262003.5
2016,268251.3
2017,273710.4
2018,282424
2019,287994.7
2020,283549.6
2021,289526.4
2022,296640.8
2023,302364.4
